name;area of expertise;topic;keywords;date;preferred city
Dr. ir. Bavo Dewitte;Instituut voor Landbouw, Visserij en Voedingsonderzoek (ILVO);;;20/04/2023;Ostend
Dries Braeken;R&D Manager;IMEC;Building game-changing tools for life sciences using silicon technology;02/04/2019;Leuven
Dutta, Aniruddha;Research Engineer;OCAS NV/ ArcelorMittal Gent;Metal Physics/ Metallurgy;24/02/2020;​
Elena Ramis Bravo;PhD student;Department of Mechanical Engineering, KU Leuven;Brain architecture: building of our thoughts.;17/04/2023;Brussels
Elke Meyers;PhD researcher;KU Leuven, Faculty Psychology and Educational Sciences, Health Psychology research group;;12/04/2023;​
Ellen Wayenberg;Professor;Ghent University;Public Governance and Management;10/04/2019;​
Elodie Chabrol;Neuroscientist;International Director of Pint of Science;Neuroscience, ocytocin;30/04/2019;​
Els Peeters;Lector and researcher;Odisee University College;Industrial Science and Technology - Biotechnology;10/04/2019;​
Emilie Caspar;Scientific Collaborator;Research Centre of Cognition and Neurosciences (CRNC), ULB;Neuroscience. Free will, volontary action;03/02/2019;Leuven
Emmanuel Van Acker;Academic assistant & PhD student;Ghent University;Oceans and Human health;12/04/2019;Antwerp
Eric Stienen;Senior Marine Scientist;Instituut voor Bos- en Natuuronderzoek;Ecological research on seabirds;12/04/2019;Antwerp
Erika ZAGO;Postdoctoral researcher;Université Libre de Bruxelles;Chemistry;15/02/2021;Leuven
Essie Rodgers;;University of Antwerp, Faculty of Sciences;Not all doom and gloom: the promise of using physiology to conserve the world’s bi;13/04/2019;Ostend
Eva Boonaert;PhD researcher;KU Leuven;;12/04/2023;​
Fanny Barnabé;Chargée de recherches;Université de Liège, Liège Game Lab;Video games;20/04/2019;​
Fernando Prado Araujo;PhD student;KU Leuven;Formation of magmatic rocks inside the planet;17/03/2022;Brussels
Filip Huyghe;Postdoctoral researcher of Marine Biology;Vrije Universiteit Brussel;Genetics and fish population in Western Indian Ocean.;16/04/2023;Brussels
Filippo Cerpelloni;PhD student;UCL;The basis of reading;17/04/2023;Leuven
Florian Handle;Postdoctoral researcher, molecular endocrinology lab, KU Leuven;KU Leuven;Cancer research;12/04/2019;Brussels
Frank Bosmans;Professor;Department of Basic and Applied Medical Sciences, University of Ghent;Biotechnology, study of human diseases, sodium channels;13/04/2019;​
François Denuit;PhD Fellow, Political and social sciences;Université libre de Bruxelles;EU socioeconomic policies, Universal basic income, Social justice;04/04/2019;Leuven
Fraussen Bert;Assistant Professor;Leiden University;lobbying, civil society, stakeholder management and public affairs;10/01/2023;not set
Frederic Paillaugue;Professor in Anatomy, PhD Student, Physical Therapy;PhD at Vrije Universiteit Brussel, Prof at Haute-Ecole Bruxelles Brabant;Body composition and anatomy;02/05/2019;Leuven
Frederick Van Gestel;Arts & doctorandus Neurochirurgie;University Hostpital Brussels & Center For Neuroscience;Neurosurgery;20/04/2019;Leuven
Frederik Gerits;Researcher;ILVO;;12/04/2023;​
Freya Blekman;Research Professor in elementary particle physics;BeH, Vrije Universiteit Brussel, CERN;Particle physics;04/03/2019;Leuven
Fréderic Lesur;Ingénieur chercheur, responsable R&D;Nexans Calais;Researcher on high-voltage cables for energy supply;13/04/2019;Leuven
Frédéric Landragin;Directeur de recherche et linguiste;CNRS;Linguistique, informatique, science fiction;29/04/2021;​
Gauthier Bouche;Director of Clinical Research;The Anticancer Fund;Clinical Trials and Drug Repurposing;10/03/2022;​
Gauthier Bouche;Director Clinical Research;The Anticancer Fund;Clinical Trials and Drug Repurposing;22/04/2022;​
Geert Mortier;;University of Antwerp, Faculty of Medicine and Health Sciences;Should I have my genome sequenced or modified?;13/04/2019;not set
Geraldine Rodriguez Nieto;Postdoctorate Researcher;KU Leuven;Neural and metabolic processes associated to cognitive flexibility and ageing;03/07/2023;Leuven
Gerard Govers;Professor, Vice Rector and Head of the Sustainability Office;KU Leuven;Environmental Sustainability;11/04/2019;​
German Vighi;PhD student;KU Leuven;Apple breeding and plant reproductive biology;20/09/2023;Leuven
German Vighi;PhD Student;KU Leuven;;12/04/2023;Leuven
Gerrit De Bremme;Artist;Shellac Design;Graphic design, art work;02/04/2019;Leuven
Gert-Jan Wijnant;Postdoctoral Research Assistant;UCLouvain;Tropical infections. Flesh eating parasites;18/04/2022;Brussels
Gilles Pittoors;PhD Fellow in Political Science, GASPAR;Ghent University;Political Sciences;08/04/2019;Brussels
